en,hi,gu,mr,ml
Visa,वीजा,વીઝા,व्हिसा,വിസ
MasterCard,मास्टरकार्ड,માસ્ટરકાર્ડ,मास्टरकार्ड,മാസ്റ്റർകാർഡ്
Contactless Payment,कॉन्टैक्टलेस पेमेंट,કોન્ટેક્ટલેસ પેમેન્ટ,कॉन्टॅक्टलेस पेमेंट,കോണ്റ്റാക്റ്റ്‌ലെസ് പേയ്മെന്റ്
Chip Card,चिप कार्ड,ચિપ કાર્ડ,चिप कार्ड,ചിപ്പ് കാർഡ്
EMV,ईएमवी,ઈએમવી,ईएमव्ही,ഇഎംവി
Payment Gateway,पेमेंट गेटवे,પેમેન્ટ ગેટવે,पेमेंट गेटवे,പേയ്മെന്റ് ഗേറ്റ്വേ
POS,पीओएस,પીઓએસ,पीओएस,പി.ഒ.OS.
ATM Card,एटीएम कार्ड,એટીએમ કાર્ડ,एटीएम कार्ड,എടിഎം കാർഡ്
PIN,पिन,પિન,पिन,പിൻ
OTP,ओटीपी,ઓટીપી,ओटीपी,ഒ.ടി.പി
CVV,सीवीवी,સીવીવી,सीव्हीव्ही,സി.വി.വി
MICR,एमआईसीआर,એમઆઈસીઆર,एमआयसीआर,എംഐസിആർ
IFSC,आईएफएससी,આઈએફએસસી,आयएफएससी,ഐഎഫ്‌എസ്‌സി
SWIFT Code,स्विफ्ट कोड,સ્વિફ્ટ કોડ,स्विफ्ट कोड,സ്വിഫ്റ്റ് കോഡ്
Bank Statement,बैंक स्टेटमेंट,બેન્ક સ્ટેટમેન્ટ,बँक स्टेटमेंट,ബാങ്ക് സ്റ്റേറ്റ്മെന്റ്
Passbook,पासबुक,પાસબુક,पासबुक,പാസ്ബുക്ക്
Cheque,चेक,ચેક,चेक,ചെക്ക്
Cheque Book,चेक बुक,ચેક બુક,चेक बुक,ചെക്ക് ബുക്ക്
Demand Draft,डिमांड ड्राफ्ट,ડિમાન્ડ ડ્રાફ્ટ,डिमांड ड्राफ्ट,ഡിമാൻഡ് ഡ്രാഫ്റ്റ്
Pay Order,पे ऑर्डर,પે ઓર્ડર,पे ऑर्डर,പേ ഓർഡർ
Banker’s Cheque,बैंकर चेक,બેન્કર ચેક,बँकरचा चेक,ബാങ്കർ ചെക്ക്
Minimum Balance,मिनिमम बैलेंस,મિનિમમ બેલેન્સ,मिनिमम बॅलन्स,മിനിമം ബാലൻസ്
Monthly Average Balance,मंथली एवरेज बैलेंस,મંતલી એવેરેજ બેલેન્સ,मंथली एव्हरेज बॅलन्स,മാസം ശരാശരി ബാലൻസ്
Account Number,अकाउंट नंबर,અકાઉન્ટ નંબર,अकाउंट नंबर,അക്കൗണ്ട് നമ്പർ
Bank Charges,बैंक चार्जेस,બેન્ક ચાર્જેસ,बँक चार्जेस,ബാങ്ക് ചാർജുകൾ
Service Charge,सर्विस चार्ज,સર્વિસ ચાર્જ,सर्विस चार्ज,സർവീസ് ചാർജ്
Service Fee,सर्विस फी,સર્વિસ ફી,सर्विस फी,സർവീസ് ഫീ
Transaction Fee,ट्रांजैक्शन फी,ટ્રાન્ઝેક્શન ફી,ट्रांझॅक्शन फी,ട്രാൻസാക്ഷൻ ഫീ
Late Fee,लेट फी,લેટ ફી,लेट फी,വൈകിയ ഫീ
